Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Somalia,SOM,0.024274816,0.024973931,0.024394415,0.01081114,0.011888273,0.015667588,0.017324925,0.013820739,0.031328192,0.005745251,0.00860235,0.002719412,0.000531974,0.001581543,0.000537161,0.00046264,0.000736532,0.000421766,0.000755754,0.006801869,3.441611282,0.020214323,0.0538251
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,South Africa,ZAF,0.936620284,0.983700685,1.136482188,0.760870487,0.584618661,0.729019238,0.919077504,0.886977332,0.958092312,0.867767704,0.77855174,0.807128116,1.111901444,1.087794937,1.347646357,1.905541205,2.017794488,1.678006933,1.869861245,2.010313359,2.165280844,1.659348661,1.707539174
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Sudan,SDN,0.434055269,0.313505501,0.252563264,0.30809568,0.360926451,0.240955185,0.155741786,0.187605742,0.131631985,0.232485612,0.164546039,0.210701471,0.229956178,0.190504266,0.145656529,0.201149696,0.144603445,0.226436299,0.185343624,0.148579547,0.131939502,4.679249383,0.081202234
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Tanzania,TZA,0.487847506,0.360912322,0.307185416,0.270173134,0.355317906,0.306689322,0.281482686,0.242290979,0.181964599,0.199837219,0.188871928,0.191113196,0.204971228,0.170303632,0.229377123,0.530833587,0.53732971,0.525419489,0.568469403,0.659410196,0.560698647,0.488851961,0.605010514
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Togo,TGO,0.526448182,0.568326181,0.158550338,0.133593996,0.096359866,0.065023574,0.152854918,0.133448547,1.170855465,0.30544265,0.184969751,0.095413135,0.194719965,0.225575195,0.276640224,0.34572997,0.405891482,0.45807193,0.497699578,0.541828526,0.542363314,1.184106855,1.224330762
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Uganda,UGA,0.458414545,0.325489315,0.429495042,0.431472604,0.487695675,0.409944989,0.308725163,0.146584807,0.155860008,0.092236326,0.088986265,0.097542488,0.106690281,0.1467241,0.157732832,0.15131571,0.22686517,0.30171106,0.333644468,0.389664788,0.78909669,1.089399759,1.040710654
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Zambia,ZMB,2.665394126,1.506772136,1.574551396,3.810571519,1.322588105,0.892869628,0.497044696,0.394994975,0.325718873,0.33643624,0.336923765,0.350432595,0.325846499,0.477051602,0.538746096,1.330795965,2.329490165,1.735738809,2.322508934,3.771001048,2.694980267,1.288353179,1.114145808
World,WLD,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,Zimbabwe,ZWE,3.216983848,1.182442712,1.364462907,0.39046406,0.739418144,0.979882667,2.038135729,1.880149786,2.439451542,0.632308888,0.409060446,0.46094754,1.924974915,0.969923797,0.836717275,1.337469975,0.915763427,2.13422775,0.972526868,1.740110976,0.238853497,0.202428737,0.613498966
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: International Debt Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
